kh-qx4ncshwrucb5_7amka	Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.
N_nPF1IiSyWlqrU2lr6XbA	Chuck Norris is easily the most intensely awesome thing in the known universe. But of course, anything in the unknown universe would readily agree immediately if asked.
JOdRZEMVQ6ehgTQBuBdBWA	The term 'bust a nut' doesn't apply to Chuck Norris. It should be 'detonating a watermelon plantation'.
9dlk1v9GSp-hBS_FwU50BQ	It can look like chicken, taste like chicken, and feel like chicken, but if Chuck Norris says it's beef...it's beef. NO QUESTIONS!!!
LRK6BC3LRvuoHtORRdmRIA	Chuck Norris recently had his entire scrotum tattooed black, just to show everyone who the fuck Chuck is. He whiled away the 15-hour process by lifting weights and recieving blowjobs.
7nUSFBHfQDGERpXR2OQ93A	Chuck Norris can change the battery in a 2003 Dodge intrepid.
EbuTcwUZSi6SftbGIzYI5Q	Only 535 people of thousands have ever survived a Chuck Norris roundhouse kick to the head. These, now brain damaged, individuals comprise the US Congress.
BpK-bOmKSlyVwXg_oEDvhQ	The legendary fight scene between Bruce Lee and Chuck Norris had to be filmed over a dozen times because the cameramen kept dying.
B81GMPbdQm2VN-wZ3aTSzQ	Chuck Norris CAN whisper bloody murder. Damn it.
8Tw9xEw9SzqU3E_fxazLRQ	Chuck Norris wishes you a Merry Christmas, a Happy Hannukah, and a Happy New Year... so you better have one!
VqPP9QAOSyOShQS_PuHSXQ	A kid once had test. Not knowing what to do, the kid wrote "Chuck Norris" for every answer. He got a perfect score, but Chuck Norris came and roundhouse kicked him for using his name in vain.
nddKnLB4R-qPJeMNyvQTgw	God said to the world, "Let there be light!" Chuck Norris said, "Say Please"
ACRjLxF2TAypd0OH-SwYeg	Chuck Norris doesn't jump. He moves the ground away from him.
QfzV73ZJSI6Gy6rJOA5u0g	pHiLi has a very strange perception of Chuck Norris' penis.
4ccl_U5ISBm86IJJYeoPIg	Sotheby's once auctioned off 1/4 lb of Chuck Norris toenail clippings for $400,000.
EOwO-jzKQ02ykp6-MI4fiw	Hercules is the strongest man in the world but he lost a game of mercy to Chuck Norris.
-GaJvWEAQ7WqlfiELARNqQ	Chuck Norris is "lovin' it" at taco bell
TMcA5AKZTz2rkt_rY5QynQ	Chuck Norris was in a bear fight, he tapped the bear with his finger and the bear fainted and died
M0BJbCFgT8-MJmDQr2l0dg	Chuck Norris can easily remove your testicles through your anus.
3mANH1QsSSGDBRJWzDufqA	Chuck Norris knows how many licks it takes to get to the center of a tootsie pop.
oCjZR0RcSVGDgZlIn-s_Ww	Chuck Norris can fart the entire Walker, Texas Ranger theme song lyrics in Morris Code.
FcAOFgUkSuecLJtUFsmgDQ	Chuck Norris can make you hang onto his every word, even the prepositions.
ePwGcTlsRnyWI-G1GPtXHg	Cocaine is really just Chuck Norris's dandruff
wIiIqC18SPOlaWkBenybQQ	Will Weston punched a women in the face. Chuck norris punched a bull dozer in the face. Who is better? you decide
OU9p7CjRT3CNwm6SoVZotg	Once, Chuck Norris ate 200 grapes, and peed out wine.
31pken8xRUKzmn6-aV8vVQ	When Chuck Norris first tapped Katie Holmes behind Tom Cruise's back, he immediately went to the nearest couch retailer and stomped the shit out of every one. Then he tapped Oprah.
qryCFzRvTB2CD_IEUpOTNA	Chuck Norris catches chopsticks with flies.
ER_NIZnaQ0CF1kL7GIedsw	This one time at band camp... BAM! Chuck Norris.
aoUnFWsLQkaJK9Vp1Yldig	Chuck Norris owns a playstation 360
XNaAxUduSw6zANDaIEab7A	the reason nobody can find bigfoot is because is because Chuck Norris found him first.
_4ckz5ltsh2fyxsdd-2v4q	Chuck Norris does not wear a condom. Because there is no such thing as protection from Chuck Norris.
4bvl1JLQS-uQzDK2scuXRw	If you ever hear Chuck Norris humming "Ain't That a Kick In the Head," flee for your life. You don't want to be around to see what happens next.
wbLFE4n3Ri2jnPXDGlUPpA	Can Chuck Norris make a rock heavy enough that he can't lift it? Of course he can....he's Chuck Norris.
3T_k8g2uTLiEu58Opn0D1Q	Chuck Norris makes onions cry
Nd8XmCrbQ36Ze6w11uklAg	Little known fact: Chuck Norris was a massive Doors fan, and for a while used to insist on being called Chuck Norrison. Then he heard that the singer moved to France, then scared him to death in the bathtub.
JICRo9FDQwiNYc3lvIE4cw	It wasn't the North Star the Three Wise Men were following it was Chuck Norris' aura.
29Zo1wBaSTSHnexhiDczYA	Chuck Norris is the first man to have sex on every continent. He achieved this distinction over a period of 2 days in 1967.
lHUUBDWYQiKCg8rEHo16yw	In an objective, scientific sense, looking at an image of Chuck Norris erodes your soul.
3875LfYeRYSx802o5HlPdw	Chuck Norris instantly choke slammed Will Weston, with chuck's hands behind his back.
ySltYdnLREeM1_F-OMEz1Q	Chuck Norris can read the whole bible in one day.
fz0lOxWKQ8qSRjxOAH3wmw	Chuck Norris never uses parachutes when he skydives out of airplanes because they only slow him down.
bk4ffpNHSLKVyfZ747pzWQ	This is a web site for NEW AND ONLY NEW Chuck Norris Facts.If Chuck Norris finds out(and he will find out) you have posted one that you read or heard....Beg for Merciful God to take you and not Chuck Norris
9j7vXlKBQvGqqLIxADRS_w	Chuck Norris threw his first roundhouse kick on September 1st, 1945 at the age of five. The next day Japan surrendered -- coincidence ? I doubt it .
4Nqt9In9T7aB3kI1SXw8eA	Chuck Norris can end a sentence with a preposition.
zYfGBDlJQayOwrrC2q6_1g	If you ever use the expression 'it happens to the best of us' around Chuck Norris, get ready for something violent to happen to you.
4fvKC8mfRmmkiVlikzb6ZQ	Chuck Norris is very skilled as a teacher, at the point where he teach a new trick to a newborn puppy.
HmSgEIAtTXOC3-B5Ta6rUQ	Chuck Norris has a Ford F-1450 pickup that spans 4 lanes of traffic. The license plate has the entire St. Crispin's Day speech from Henry V on it.
IQIt7q8nRBGkXF9H5USyDA	If Dracula survives off human blood, guess who survives off Dracula's blood? Yup, Chuck Norris
usmgydpvqqs6xvonlwsvka	Chuck Norris is not Politically Correct. He is just Correct. Always.
-3osgk9FT8iZa8weY7ylTQ	Chuck Norris never wet his bed as a child. The bed wet itself out of fear............
JcEQXy5CRbKuWhVXvjqnVw	Chuck Norris can shut a revolving door
o0w-n1ivTsqvPP8K7cig2A	Chuck Norris always wins at "Battleship." No one has the guts to even fire a shot.
uyvvbkzaqlo5ao1v7sxx4a	There?s an order to the universe: space, time, Chuck Norris.... Just kidding, Chuck Norris is first.
2b3DXDRRQFWEEg0jyH-bKQ	Chuck Norris is the world's most popular loner.
ugysngkxr2uvqdpqzr9brg	Chuck Norris once ordered a steak in a restaurant. The steak did what it was told.
hHteUwSuTECs1yQyF6YoeA	by reading this you have given Chuck Norris brief control over your mind
gbwLVXpiTuOKGnmk5S8D0A	Respected archaeologists fight over Chuck Norris's discarded apple cores.
Ht-0D3quQ_GAYAmSTV2mqw	The movie "anaconda" was shot in Chuck Norris' underwear
kROzwt6jTBab78dlTsCtVg	Chuck Norris donates all of his money to the M.Y. Wallet foundation, and you better too, or else.
uudN-PgdQf6rjFnmaNGFCQ	The Dos Equis guy is Chuck Norris' padawan.
-Oqd27a_SwGSsy-TNQ3mAw	They say you are what you eat, but this rule doesnt apply to Chuck Norris because all he eats is Pussy!!!
6dUUlQE_SoekQHmWC-YPjw	Chuck Norris is better than Ash Ketchum because Ash didn't catch all the Pokemon yet.
FeXIrKs-SY-_VdVSAw289A	death once had a near Chuck Norris experience
TheEqdoNQtix5jGMEvpqUg	Chuck Norris once tried to wear glasses. The result was him seeing around the world to the point where he was looking at the back of his own head.
Nw540lqQSnG4-b9_P9n9Jw	If you ask Chuck Norris to wear a seatbealt, he WILL belt you.
qev0RvU9S7WlusV8_KGgxw	Chuck Norris will never die. Every time Death pays him a visit, Chuck Norris will kick his ass with a roundhouse kick in the face.
Eor5BuTtQkKP2QXxyHL3TQ	Every hockey game Chuck Norris played goalie hes never been scored on
RM1Ia74kQ1ys7fENcttJ3w	Chuck Norris has nine toes on each foot
JF8HGioqTZm-Kw6TqztIGQ	Chuck Norris is the only one that can kill people that can't die!
Vc6-fz7fRRSHpXHYlnjDRQ	When life gives Chuck Norris lemons, HE SQUIRTS THE LEMON JUICE IN HIS EYES AND RUNS RAMPANT ON LIFE'S ASS!!
1_ChBwY2ScmYR6qe4PvDIg	CHuck Norris can start a car simply by running his hands over the dash.
d1alfGddT1ysae8JCv4mfg	Chuck Norris makes the rest of The Expendables look like The Golden Girls.
bv21LOGqSP6ICVnWTeOZXw	Chuck Norris can milk a cow with your face.
Fpz92ai-TlGVzoVs_GRa9Q	Chuck Norris wants to know how your wife and his kids have been doing lately.
-fa7rpzlr2iafe1pmq7xaa	A high tide means Chuck Norris is flying over your coast. The tide is caused by God pissing his pants.
Aly5gNl-SPq_baoT1Go2tw	The earth has a bigger dick than chuck Norris but chuck Norris's dick is 3 times bigger than the earths
hQpVFAw6SZu57v04Xr41ag	Chuck Norris invented the "Shake Weight" so that one day a woman might have the strength to give him a hand job.
6-koUjV_RSO3gvm_SMB00A	The Avengers Assemble - Chuck Norris Dissemble.
60uo3YPmSgindMVnsO3gnA	When landing on the moon, Neil Armstrong actually said, 'one small step for man, one giant leap for mankind... and please, Chuck Norris, don't kill me for being the first.'
b6fgbzwnr5eggchm4mckpa	You know how they say if you die in your dream then you will die in real life? In actuality, if you dream of death then Chuck Norris will find you and kill you.
BOJQsb1JQfW7Hi31H2eS0Q	Hitler shot himself not because the Russians were in Berlin, but because he heard Chuck Norris had just volunteered for military service.
cn2m6uUxTr2jJ4FG3Yu0rw	Chuck Norris doesnt drink coffee, coffee drinks Chuck Norris, because everyone knows coffee needs to wake the hell up
01MA73TvSA6V7_5DuQa_bw	Chuck Norris can detect gravitational waves with his penis.
j5hzizlaT3KeDm71t_qbfA	Jiggy gets Chuck Norris widdit.
e8gfEp-oRaSTwXEUTBWjNg	Chuck Norris has never lost playing 'Whack-a-Mole'.
eaJcvNCZRXu1zEYEikyqVQ	Chuck Norris can open PDF files with Microsoft Excel.
FKjcTbgAT5eyxwooaWx6Uw	Chuck Norris roundhouse kicked all the American out of Johnny Depp.
J87Bj9syTxawB_yRvSdIyg	Chuck Norris once paid 25 cents for a $1.00 Snickers Bar and got $20.00 back in change.
42srivu7rfwmbvnsu42e-a	There are two types of people in the world... people that suck, and Chuck Norris.
YAKYIngfS3uo3IJqHLSdZg	On February 15, 2013, Chuck Norris hit a home run out of Rangers Ballpark that made it to Chelyabinsk, Russia before exploding. New personal best.
CWXmF-wEQ_esl-rI0YwISg	Some of the alternate titles - The Expendables 2: Chuck Norris Forever, The Expendables 2: Norris And Friends, The Chuckpendables, Big Chuck And Some Ugly Overpaid Motherfuckers, and Walker: Texas Ranger: The Motion Picture.
P-tx2WHeTrm2ccB9Hwu9GA	Chuck Norris made Ferris work on his day off.
48uaHvl4SwSPJ6xr_YE0xw	Many people do not realize that Chuck Norris has been a bouncer for many, many years. EVERY guy that's ever mouthed off to Chuck has had his face bounced off the asphalt.
gixH2ZhOQ-SsmwtrSJPdwQ	Chuck norris did it with Kim kardashion so hard that she secretly grew a dick
cQ99fXBMRyqaeB1hp1_w_A	Chuck Norris' digestive system can dissolve corn and peanuts.
DeRu2xJyR2aI1SgSHQtpEA	the reason why babies cry when they are born is because they know they've been brought into the same world as Chuck Norris
lPTW9mA1RjuKgjvoDqkqIg	Every Chuck Norris handshake comes with a free lifetime limp.
O2rh2T35Q_CepHY5hLUvZg	Isla Nublar and Isla Sorna are Chuck Norris' vacation islands
jTWgZ6kHR-2lbwIduVvDkg	Chuck Norris loves to plant tubes of springing snakes in bodies to be autopsied.
IuzY1qAwS2afrXH8UTS6Jw	Chuck Norris isn't as tuff as everyone says.   What was that? It just sounded like someone kicked my door down.
FnksvSW4RsCIW7ygZmbV-g	When Chuck Norris tears out your heart and squeezes with one hand, the immense pressure results in a blood diamond
jo9CQKcnQqiB6xD2NjH2rg	You know the move where Scorpio removes the spine in mortal combat? Well Chuck Norris can do that to invertibrates!
ZD_N1lL2S8aZYmZFjwJpng	Chuck Norris doesn't 'open' bottles of beer. He simply bites the top off and chugs it.
zunP4OI9S6-x58Kdmyu-iQ	Chuck Norris created the Sasquatch by setting fire to a Yeti with a flame thrower.
UDB7hYtmQ7q26YrRtfhDRA	i hope Chuck Norris dies in a car crash. he would have 99 lives left
hTzg_5rDQVCOmrRCHe8BFA	Chuck Norris chest hair is the main ingredient in Kevlar.
Obm-udCMTQG5rLwESe390w	when life gives Chuck Norris lemons, he makes orange juice...then punches life in the fucking throat..Chuck hates lemons
6oL3fweNS-SWVV-AO48Zhg	Chuck Norris once had an erection while laying face down.... he struck oil
U-45kfsUTXuHUOGgp7WpEw	Chuck Norris invented "That's what she said", and your mom went, 'oh yeah'
qzQst2FNR9-PSpLhCRbTdw	There are no crying scenes of Chuck Norris in any of his movies? That's strictly because Chuck Norris never allows stunt doubles for any of his scenes.
YNLiG937S2y116m5XweOfA	Chuck Norris can walk through a village full of hungry cannibals without concern.
o1PJ78IMSYyz4mzGag4bmA	The Chicago Cubs are the worst team in baseball history. The only reason Cub fans still exist is because they are the only group of losers that Chuck Norris, uncharacteristically, has displayed any mercy for.
UK43-cU4QrOZZlGjqQYauQ	Don King's hair is that way because he is the only person to survive a massive Chuck Norris fart directly to the face
HXebaVyLSyKVGTqXhN6wqQ	Chuck Norris is recommending all his friends buy a boat because Zombies can not swim.
WyTe8raYR16TeGabtztdpA	There are only three things that a songwriter must consider: rhythm, melody, and Chuck Norris.
dUWq_k5iQMyUiHJYfEjcfg	Local mountain lions have been complaining about the recent string of Chuck Norris attacks.
vmcclqoQSWGLC8T0tSRvmQ	Satan would donate his soul to Chuck Norris.
_a7lq838Qy2krEEyx2J29g	Once Chuck Norris pissed off anger, and that is how happiness was invented.
6aV1Skh_R4KVmxbjnX5TGA	Chuck Norris' hand is the only hand that can beat a royal flush.
-TGIlhYySKG6PJn_rzs6qg	December 1 2013 will be the day Chuck Norris gets a playstation 5.
M97k43fNRwG7BGDyii1Pxg	Chuck Norris can rub two fire's together and make wood
hHZQ0jmCTimNEu5ZOIEbDg	When in Rome, Chuck Norris.
rq8L2HaCQcm09NbizqtYnA	Chuck Norris eats soup with a fork, KFC with chopsticks, and bananas with his feet.
ZCGyywnLRtK-p8sbsDahHQ	Every time that Chuck Norris speaks, the expansion of the Universe halts for a split second.
v9bU03fzRfapZzljUQ1tzA	CHUCK NORRIS uses GREAT WHITE SHARKS as his RUBBER DUCKIE
vl3TU7wBSm6nbPZJtbaS2g	Every night before he goes to bed, the Boogeyman checks under his bed for Chuck Norris.
PkNEVtvdQgSF-kWTwyJ15Q	Chuck Norris and shit.
HBUCd6ytSfCHQOiz2zkzxA	Chuck Norris can swim undisturbed, through shark infested waters with 2 pockets full of chum.
9oOcprOiRh6ucQj0Lr8dHw	There is no 'ctrl' button on Chuck Norris's computer. Chuck Norris is always in control.
t14_olJKRAyw8NkK6rlr1g	Charlie Sheen is Chuck Norris' lovechild.
1ldgLqgiRjKQDHzQKIr5HA	Chuck Norris taught man how to make the wheel.
N8Gu6UMhTmSSv9boe8ReYA	Chuck Norris doesn't not need oxygen, oxgen need Chuck Norris
HvywHF-xR3uY-ZCIbQlUeA	Chuck Norris can Head Plank you anytime he wants too.
S85OoLU0RpOTVoOLYSK6gg	In Rush Hour, Jackie Chan said that his father caught a bullet with his bare hands.  Chuck Norris can catch lasers with his bare hands
16VuU5p1S9qYPWqVfaewLA	The apple never falls far from the tree. Keep this in mind when talking to a bearded child claiming to be one of Chuck Norris' spawn.
l4OocdObQ5mC1O3kPFq5Tg	Chuck Norris don't play that shit.
vyAT2-LiSXChK6lBsNA4vQ	Contrary to popular belief, Redfoo isn't having a Midlife Crisis. Chuck Norris just made him mentally retarded because he hates LMFAO.
fS7sECTYSI2aL3tOUxIMTQ	Chuck Norris can repaint the mona lisa with no paint.
UYyQjEM1TFy3Fl3wB-qTHQ	as i was climbing the stairway to heaven i saw Chuck Norris crapping on one of the steps
zV3iiAWKQj2z71jmFYROhw	Chuck Norris is recommending his friends buy 2 story homes because zombies can't climb stairs.
WdPn6QG_TMa9CjV8Wg-swA	The Swine Flu got started when a pig oinked in Chuck Norris's presence.
XtmOHGAsR9OsmQ3GsdSbxA	Chuck Norris banned the sale of masks in his likeness, not because of the thousands of heart attacks they cause daily, but because he didn't want random assholes scoring all the pussy clearly meant for him.
DbXjEb4CR32sYBtGwnlsjg	one day a cop pulled Chuck Norris over for speeding, that cop was lucky to leave with a warning
3Ep4jE52Rm-3XgVzz7JZ3g	Chuck Norris often goes to the zoo to spank the monkey.
QUmhb2UgRZa4bigbo5IAOw	The day of letting bulls go behind people in Spain is in fact the day Chuck Norris have to feed, so bulls had to escape.
9jwcfXRmRr-lfzYCrZzMhQ	Chuck Norris Does not use Total Gym, Total Gym uses Chuck Norris, But then again No one Uses Chuck Norris So Chuck Norris Uses ToTal Gym!
rbmMqcmUQFeSNQDnTlaDUg	Chuck Norris shaves by simply scraping his fingernails across his cheeks.
F9L6gWCOQ-mno9EfX7nzZQ	Chuck Norris can kill you with a headshot using a shotgun from across the map on call of duty.
qyL1us8pQfG76wC3Qoxhdg	Some alchemists claim they have turned lead into gold.  Chuck Norris can transform water into plutonium, just by ingesting and excreting it.
wr247cnmthuzu-jz57lxiq	CNN was originally created as the "Chuck Norris Network" to update Americans with on-the-spot ass kicking in real-time.
sizhirqtS9KjqgVc797xAg	Chuck Norris doesn't believe Feminism exists, because women can't resist Chuck Norris.
yvnMFUABS327e0KErgMC4A	Chuck Norris was once bitten by a Rattle Snake... After 3 Days of suffering the rattle snake died!
8hbrtDUcRtOKxqay1qxGpw	Chuck Norris falcon punched Jonah Falcon for having such a tiny dick.
spA5T6EuQBWk5tZT2X26UA	Chuck Norris once screamed "bloody murder" in sign language for the hearing impaired.
4XpBg1qRRuyKopwmUsVxrg	Chuck Norris was once paralyzed by the pressure of his awesomeness. He then roundhouse kicked his awesomeness to Mars, where it eradicated all life, he then made more awesome.
t600nm_XTtuwY2xn3khwVw	Why is Phillip's head shaped like a screwdriver? Chuck Norris.
psSVDtymSZmyH6TSeLQ1Yg	Chuck Norris once saw Spiderman on a wall so he folded up a newspaper and swatted him.
fRTaS7kNTkO8R_P-Y74rCg	Chuck Norris' Texas Ranger softball team won unexpectedly 150 to 0 in the bottom first inning when in foul territory he ran down and caught a Golden Snitch.
Sc56WFc3RmeV_ph8EiiL0g	Chuck Norris can shove a CD in his mouth and music will come out his ears.
7mY1eoU7TJ-3lQ_BfSmFJA	Chuck Norris once watched the video tape from the ring...........7 days later the ghost who crawls out of the well died.
FqvcwDT4Tve72jweb8tv0w	Kurt Cobain didn't commit suicide... Chuck Norris just hates grunge music
W6Nom6HSRs6dWAuwt-SK6A	Surprisingly, the only Street Fighter II move based on one of Chuck Norris' was Chun-Li's. Chuck Norris prefers to travel by performing four upside-down double-roundhouse kicks per second.
1MYGljsGT3O7OduWGl-lRA	Buzz Lightyear found out just how far it is to infinity and beyond after Chuck Norris drop kicked his ass for refusing to come out of his grandson's toy box.
1Iy7_hYKT5GgOfxkYuTK3A	Chuck Norris is unstoppable in all games of Call of Duty
PnIWrOqyQzq3q7P81U03Cw	Chuck Norris will personally come over and baptize your son if you name him Walker or Texas Ranger.
cEi7_YQoQcubJd7SCCkxOQ	Chuck Norris shoved a Saint Bernard up Richard Gere's ass.
kwl8Tn_NQaKoYOx9M4xcTw	Chuck Norris does not need to use spell check. If he happens to misspell a word, Merriam-Webster dictionary actually changes it's own published spelling.
zTBVYrsOQNSA55cvbt0aDA	Chuck Norris understood Inception the first time he saw it.
2ii9LHvGTr6dsFqF3Qcvuw	Chuck Norris is the only person who can eMail a roundhouse kick.
83BXy-bqSQOrVuCvyhS5iw	Chuck Norris' favourite alcohol is Johnny Walker: Texas Ranger
9tPDLqdZTFm6zSv32Us9PQ	Mike Tyson knocked out Larry Holmes. Big deal. Chuck Norris knocked out a Buick.
4iuAtuV8SF6RhL6R-4biDA	Area 51 is where Chuck Norris stores his lawn mower.
yro3tfayT8CC2Fp-_l0h0w	Chuck Norris prefers to make love between a rock and a hard place.
Gjov8nxDS_SwcEW1hCEwqg	Chuck Norris has only one fear...that's why there are no mirrors in his house
VMyVC5VCQbeSoLRLEp0nKA	Chuck Norris always carries a ice cooler around with him so he can store severed hands of people who where brave enough to shake his hand
oUawS5lxTIm535h-vDgDaQ	Chuck Norris can piss his name in mid-air.
uzfjFsYiQDics_IUasKeCg	Who'd win in a wrestling match, Chuck Norris or God? Trick question, Chuck Norris is God.
a6KkaAOcTfuh8uIRB-Gu6g	Chuck Norris once beat the crap out of target for practice.
XGxNDAPNQniLF41QxPv_9Q	Chuck Norris' slinky goes UP the stairs.
Rl4RxZ0_Rw-oNI5a9DjhJQ	Chuck Norris and mr. T walked into a bar together. seconds later, that bar imploded. that much awesome cannot be contained in one building.
-GJq1MaOQ4GB0g1DfgVYyw	Chuck Norris speaks fluent Pootie Tang
h2An92gaR-y3wEfEtKr0Bg	Chuck Norris' mother was supposed to have triplets. Only one of them was chuck, the other two didnt stand a chance.
YraKsMC4RjWZMCstYvq1ow	Chuck Norris has a moat around his ranch named Rubicon, and you best not cross it.
ZSDKDFPQSsGOhX1oavSDvA	The main reason science has no explanation for Chuck Norris-- no one has ever returned from studying him.
biFma3KGS7ufNDCBeBx_-w	Chuck Norris can run the three legged race SOLO
B_INrZqPRbymsYWUp96DbQ	chuck Norris first cast bass
Z0dTbZf8SQKab2TI7ZYMhQ	Chuck Norris makes some of the best darn peach cobbler and beef stew you'll ever have made straight from his bedroom using his "Dutch Oven".
2laZoZ6hTqmMyi4Els2oxg	People with Alzheimer's always remember Chuck Norris
ThAfZRsGTqCNA6pUQkc6QA	When Chuck Norris goes for broke, he always ends up with millions more.
HhL-Xe42RqCZuHI6ZkWZNw	Chuck Norris can squeeze cream from a crop
QnICTjzXQa69MHxYx6JHaQ	Chuck Norris holds a 14th degree black and red chain belt in Tibetan Throat Warbling under the Bedouin monks of the Al Maghreb mountains.
E9SWeHtCRRKLTA-gDb4l1g	Chuck Norris eats honey badgers for breakfast
-D7neevMR8qAyywBvc5pbw	Chuck Norris' black belt is blacker than the inside of Wilt Chamberlain's leather-lined coffin on a moonless midnight.
IrXXuX4pTc2MeF_x_gsPdQ	Chuck Norris is God's secret cousin
drsyP-byS-CdqgxU9JOFBA	Chuck Norris was banned from the Winter Olympics because the judges didnt know how to score a double-lutz flip-axle roundhouse kick to the face!!
7WQ3h4s1QXCOWOePi791Jw	Because Chuck Norris likes the videogame Final Fantasy , SQUARE ENIX won't stop making them because the producers know that something bad is going to happen if the finish the series.
Jc287Gy4SmCaljGcyGIh1A	Chuck Norris CAN see John Cena, and he still had honks he's a bitch.
70POD3QvQKKvAQBRpO0Uiw	Please find below a complete listing of gifts that could be found under your tree on Christmas morning that might possibly be something that Chuck Norris can not kill you with:
y0EiYdujS2ei8VMmX0_JAg	The greatest discovery of mankind is Chuck Norris. You don't have to ask 'why?'.
f3dcIHPmQlKXCDZ4L7ir-w	Chuck Norris got his drivers licence at age, 16.... Seconds.
ef3oTnXaTjCFsdXMb4m6wg	Usain Bolt broke the 100m record by accident because he was trying to run away from Chuck Norris
KDUvlYnXSpezqBv_n2ztUw	when Chuck Norris pours milk into his rice crispy's they shut the fuck up
OlsdMIudTsOfAaii3NcXvQ	Chuck norris skipped recess in school, becuse he don't play
ae-78cogr-cb6x9hluwqtw	There is no Esc key on Chuck Norris' keyboard, because no one escapes Chuck Norris.
5YgiIAw7TaKNZ5DBzpLTlQ	When Chuck Norris farts, everyone around him says "excuse me Mr. Norris"!
Rngl1KOGR06vULKpBVPSWw	Chuck Norris easily on the latest 'Iron Chef America' contest when he prepared and served the judges a knuckle sandwich loaded with C-4.
7Puq5DVoRlSvtd_etCv4dg	Chuck Norris does not wear a condom because there is no protection from Chuck Norris.
85n7kxCWQlmL3MC6sSOGcg	Chuck Norris doesn't clip his nails with nail clippers, he clips his nails with scissors, and they work perfectly.
VBFCSieNRju5h2NTqxegaA	Chuck Norris prefers his Cobb Salad served with cocklebur croutons.
sqPuLSmbRPyJS96J8wN-mw	Chuck norris cures women with aids by fucking them
le74ICi_RzKkX9-I6ggsYQ	Fear of heights is called acrophobia.  Fear of enclosed spaces is called claustrophobia. Fear of Chuck Norris is called sensible.
99B90SWoSAOZiX2Gl_Kp9w	Chuck Norris doesn't have to say NO to drugs.....They don't ask
1Qrwn4e_Swafxxegu5L6qg	Grandma got run over by a reindeer. Then Chuck Norris finished her off by running over her in his Hummer.
pr4oPWZdQpyF1lyiTvl7Cw	it was once thought that Chuck Norris never lies, until he said that Chuck Norris facts arent actually true
k1ZWSDG-TXKibTqKwz7pAw	Chuck Norris has many a dead hooker in his basement.
tpKwyglsQQCaTXmVOmlxsg	In ancient Greece, Chuck Norris killed a man, screwed his wife, then set-up Oedipus to take the fall for it. Later, Oedipus fell in love with the widow and married her.
gH0jE2pOQMSUUZjbuJ5fOw	Chuck Norris can scare fear.
a42l7tLFQmeQVrWDeE1hfg	Johnson & Johnson spent $3.5 million in developing Band-Aids for Chuck Norris which are made of lead based Kevlar lined with an asbestos absorbent pad and adhesive bands coated with Super-Glue. However, Chuck Norris, impervious to injury, will never need to use one.
1Zcl6n9WReuVl5dCp3nYKA	when ppl sleep they count Chuck Norris
75-FG9jkQrysfwjr2gVPog	Satan has a ultimate weapon to try to destroy Chuck Norris. But sadly, it worked. But then Chuck Norris revived himself and kicked Satan's ass.
mKWMVbX0QqijU1WK-775sA	Chuck Norris pees pure arsenic.
0wsFII4QTfmw8cG6iqs86A	i kicked Chuck Norris' ass the other day, then i rode the magic rainbow bus to fairy land and had tea with the easter bunny.
oMznzorrRL-UmKuTbmuJ0g	Chuck Norris wipes his ass with various non-American flags.
-dkz7U7dRrugZwiAfGvIZQ	Although a big fan of meat, Chuck Norris has never eaten a tenderloin - nothing about Chuck is tender.
UHQqmSS2Re2xVWZjpJA_HQ	Chuck Norris only agreed to be in 'The Expendables 2' so he could have the chance to sit all his co-stars in a darkened room and show them a DVD of him banging all their respective wives, and offer pointers to them.
XWlhI9VJRYSxV1nV0v7c6Q	Chuck Norris can make a happy meal cry
MnYy5DdZRK2t4_GtYmmOyQ	I caught my girlfriend cheating on me with Chuck Norris. It was the most beautiful thing I'd seen in my life
TogrAjwPTTuNh8majZwltg	Stephen Hawking was Chuck Norris's first attempt at Robot Wars
QUn1EyTnTuC6ngd2MJsOng	CHUCK NORRIS DOESNT TEA BAG LADIES....HE POTATOE SACK THEM
KEOFdsYUSG2F7uucPH1Qag	Of course Chuck Norris screwed Madonna.
cJOLGb3pSiiaD0koGDPGEQ	Chuck Norris often go to the hen house to choke the chicken.
_n6ztutzSL-gyH1SQ2xafg	Chuck Norris can put you in a coma by slapping you in the face with his dick.
rRVg8Ni8Tb6yqHcJSeT3kQ	If Chuck Norris was anti-social, the world would be a very dangerous place.
6tnt23qwrqqmfu6vytkgqg	There are only two things that can cut diamonds: other diamonds, and Chuck Norris.
_YRWVi1bR1any_Kda9PJTQ	Chuck Norris was born before his mother got pregnant.
fcO-aJV0Qjy2kAa6z_gsEg	In the 1980s, Chuck Norris dry fired a gun eastward.  The result was the Chernobyl Incident
4kjjckxrtzygp_qtlyzq6q	What many people dont know is Chuck Norris is the founder of planned parenthood. Not even unborn children can escape his wrath.
Ge7enizPSBWsszypIzgWtw	Scientists have linked a powerful male pheromone in Chuck Norris's farts to multiple orgasms in women, a new study has shown.
MqOYPgyqRFyBJHmZaxxqIg	Google queries Chuck Norris' brain for search results.
Fu9vGLOIRF6q1JTK6Hqu2A	CHUCK NORRIS CAN DO A HANDSTAND.......WITH HIS PENIS
yz9Jc8oMTau1c6cingTIPw	Chuck Norris doesn't have a send button on his email, it knows its role.
